baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDB_G0267734	3894.91142708117	0.446477248027501	0.129410308391427	3.45009028706618	0.000560399096085617	0.0146099766002056
DDB_G0267744	272.96467521875	-0.20415865116921	0.170574916205472	-1.19688554279155	0.231351169907661	0.475319768244918
DDB_G0267746	172.329115519391	-0.908877833587376	0.330202457656785	-2.75248658061798	0.0059144570343024	0.0618903206192066
DDB_G0267748	1202.04348044957	0.0397314462484897	0.104168945380127	0.381413540316684	0.702896415314617	0.847501472794579
DDB_G0267750	78.5801434345492	-0.221705499195182	0.300121493728688	-0.738719164831312	0.460077545876383	0.68518686535337
DDB_G0267752	56.5648046919743	-1.64213993269208	0.43503946979009	-3.77469183079968	0.000160205587304607	0.00655961042330699
DDB_G0267754	113.7194839558	0.100584408141549	0.226540197117451	0.444002474710483	0.657040794720875	0.821277990992652
DDB_G0267756	7.19411051457626	-2.75295581128275	1.56866427665596	-1.75496812941481	0.0792647593497346	NA
DDB_G0267758	47.1463552513586	0.561179164757972	0.297153213072959	1.8885179095142	0.0589564559012182	0.23070816544247
DDB_G0267760	928.34779067396	0.123833058824148	0.102667182724004	1.20616009457515	0.227755767293803	0.471135105182964
DDB_G0267762	8.84988360799204	-1.15529488553679	0.780171789773461	-1.48082114821436	0.138654239474744	NA
DDB_G0267766	455.52792398592	0.207736864590272	0.134152137565281	1.54851699242722	0.121497873803347	0.337112223055229
DDB_G0267768	1096.10129405299	-0.0844561179333984	0.140121608840802	-0.602734429272453	0.546685373667122	0.747916107413647
DDB_G0267770	51.7973365016564	-0.448913348014153	0.412496669043106	-1.08828357100562	0.276469941024424	0.525281118259687
DDB_G0267774	477.264211366378	-0.0717636648580189	0.125892496338536	-0.570039255278887	0.568651073551541	0.762431617371291
DDB_G0267776	6363.59064616387	0.136400297283752	0.0997179936020749	1.36786042675566	0.171355768833173	0.404100817068666
DDB_G0267784	172.020818503675	-0.334594454452247	0.186981054101365	-1.7894564562186	0.0735413341317886	0.259355965413017
DDB_G0267786	7139.71719082434	0.229953380627158	0.0808807180564516	2.84311744693784	0.00446746045659657	0.0525382767267207
DDB_G0267788	453.810396161163	0.344738881987813	0.15128752451048	2.27869999924503	0.0226849047988765	0.134426219728116
DDB_G0267790	208.039016504151	-0.0407602811105359	0.306726448256663	-0.132888054949955	0.894281913885155	0.950394137794844
DDB_G0267794	1588.96510886815	0.137510456286119	0.110625632051706	1.24302527123051	0.213858521176174	0.455794520796421
DDB_G0267796	2029.81180835674	0.146420111114941	0.143571846585725	1.01983860065152	0.307805012931374	0.555156101318538
DDB_G0267798	607.838300822913	0.0697034415575796	0.185404191693726	0.375953968035008	0.706951117903811	0.849178532957801
DDB_G0267800	144.633173621112	-0.226858766321555	0.192639692752759	-1.17763251736865	0.23894314047159	0.483243403126822
DDB_G0267804	1069.69032306131	0.1916800732055	0.103320283849368	1.85520273526302	0.063567281240381	0.239236616659406
DDB_G0267808	90.1558136653616	0.169260335825509	0.241041924667815	0.702202888807705	0.482552644319016	0.702080668816876
DDB_G0267810	265.923489397427	0.290040002598571	0.130978966678143	2.21440136500153	0.0268011810920728	0.145162222346992
DDB_G0267814	449.603562982312	-0.347300711756981	0.170915842094861	-2.03199836539566	0.0421538214272935	0.18860401506768
DDB_G0267816	60.7319067157196	-0.412174141946653	0.253958448751636	-1.62299834470066	0.1045897587211	0.312962851607287
DDB_G0267818	143.964721374047	-0.215513091475726	0.210128637198503	-1.0256245619303	0.305068585309448	0.553257017408188
DDB_G0267820	61.0498551359402	0.297764512514679	0.27676186980402	1.07588705310284	0.281977772858921	0.531039990979741
DDB_G0267822	558.288886951895	-0.00815577391638461	0.122543067867228	-0.0665543474496751	0.9469364905735	0.975571919997583
DDB_G0267824	613.808276380556	-0.134398179657051	0.144160543257662	-0.93228130679861	0.351191165721404	0.59470923284703
DDB_G0267828	318.448812591507	0.318904868961811	0.176067268355027	1.81126720452528	0.0700994996779107	0.252505300292587
DDB_G0267830	989.344048108333	0.0322109817330252	0.100530294050147	0.320410698460284	0.748657016512568	0.875591264333226
DDB_G0267832	84.8136210486691	-0.286001275880646	0.254777743763876	-1.12255203949725	0.261627794250388	0.507892494884507
DDB_G0267834	398.613314024768	0.00810687618258017	0.13680694206957	0.0592577837055786	0.9527467857159	0.978219143579633
DDB_G0267836	168.825919783923	-0.321453855714828	0.153177904281726	-2.09856543750337	0.0358552257932921	0.172251746733544
DDB_G0267838	302.925648323449	0.158435925178976	0.146042130383502	1.08486451658113	0.277981665729469	0.527031509834587
DDB_G0267840	5.96172115725602	-3.07308837128888	1.75137067464353	-1.75467616066734	0.079314715970377	NA
DDB_G0267842	11.7856272836586	-0.0675185771707633	0.642483444472558	-0.10508998753453	0.916304404100302	NA
DDB_G0267846	672.757769611551	-0.327276636673198	0.157926552075696	-2.0723344641649	0.0382342604774688	0.179243177007293
